MEDIAN_SALARY,SCORE
514000,10.39
1305666.667,17.47
1236666.667,17.01
751666.6667,13.06
616669.3333,11.63
1908333.333,20.79
496666.6667,10.17
2033333.333,21.37
1482666.667,18.56
987500,15.17
3006333.333,25
568333.3333,11.07
651333.3333,12.02
991666.6667,15.2
889333.3333,14.34
1936666.667,20.93
1044666.667,15.62
616333.3333,11.63
1366666.667,17.86
550000,10.84
596000,11.39
1266666.667,17.22
598000,11.42
919000,14.6
381000,8.53
1683333.333,19.67
1285333.333,17.34
1364000,17.84
952660.6667,14.88
385666.6667,8.61
559333.3333,10.96
870000,14.17
1745000,19.99
387329.3333,8.63
1035666.667,15.55
1621146.667,19.34
1270000,17.24
1275000,17.27
1261333.333,17.18
1433333.333,18.27
583333.3333,11.24
778333.3333,13.32
1673333.333,19.62
838333.3333,13.89
813666.6667,13.66
526666.6667,10.55
539666.6667,10.72
953333.3333,14.89
475000,9.88
953333.3333,14.89
383333.3333,8.57
589274,11.31
1366666.667,17.86
716666.6667,12.71
1300000,17.43
703333.3333,12.57
2140666.667,21.84
422367.3333,9.45
1651333.333,19.5
1170000,16.55
1081666.667,15.91
865000,14.13
1883333.333,20.67
783333.3333,13.37
472000,9.84
703333.3333,12.57
2173000,22.68
1896666.667,20.74
2093333.333,21.63
766666.6667,13.21
813666.6667,13.66
480000,9.95
736666.6667,12.91
655000,12.06
996333.3333,15.24
655166.6667,12.06
1077120,15.87
1533333.333,18.85
1094333.333,16
1780333.333,20.17
602333.3333,11.47
626666.6667,11.74
816666.6667,13.69
2600000,23.63
1790000,20.22
852666.6667,14.02
1073333.333,15.84
779416.6667,13.33
1925000,20.87
570666.6667,11.09
816666.6667,13.69
486333.3333,10.03
533333.3333,10.64
1950000,12.18
1832000,20.43
683333.3333,12.36
883333.3333,14.29
738333.3333,12.93
