Np,NE,NT,SS
259,1092,3563,12.68
62,672,1859,8.28
519,595,1309,10.09
485,960,3988,12.5
313,1384,5536,13.5
210,1120,4579,13.36
577,623,1432,10.58
0,1376,4779,12
1306,2947,9517,18.07
683,2803,8292,16.51
101,288,670,6.08
1965,1837,5498,18.5
44,1315,5116,13.5
29,966,3672,10.5
331,1344,4676,12.57
119,825,3003,9.8
162,492,1478,9
25,1392,5001,13.5
227,1032,3841,11.5
230,1686,5861,14.5
195,900,2996,10.77
74,1065,2775,9.53
494,1305,3894,14.25
611,3510,11919,17.43
858,1561,3974,14.37
722,1722,4739,16.64
145,803,1912,9.01
173,1350,3901,11.5
0,747,2309,8.65
87,301,735,5.55
348,505,1780,10.5
934,1319,4944,16
716,3504,13320,16.39
213,1040,3024,12.5
0,1002,3710,10.31
54,276,1237,8.5
96,360,587,5.38
127,1026,3597,10.35
439,1613,4486,14.46
227,976,3705,11.5
329,1183,3186,11.69
140,918,3065,10.38
198,1782,6400,12.12
160,255,752,7.19
195,1044,3256,11.53
55,628,2565,8.96
347,1103,3095,11.59
200,1092,3583,12.5
77,452,1254,7.63
184,905,3457,11.5
137,810,3240,10.51
115,230,576,5.66
264,1430,6081,13.07
30,714,2965,9.5
181,403,1315,9.33
950,3512,14383,19
65,1212,4401,11.57
48,894,2815,8.65
251,1810,4995,12.9
33,236,626,5.28
243,1345,5294,13.68
289,1350,5340,14.5
54,1212,4351,13
69,1296,5541,14.5
129,1170,3553,9.73
112,318,901,8
0,378,1311,7.5
1437,6389,20721,18.3
207,1326,4075,10.79
312,639,2003,10
204,708,1664,9.09
62,1728,5992,13.82
609,3402,13303,18
366,4783,1524,14.4
252,4140,1176,13.97
255,5091,1182,15.38
314,8968,3115,15.12
2057,6123,2201,18.33
465,7029,2340,14.5
605,6754,1992,14.65
1994,5530,2001,18.32
316,2542,813,11.7
648,4009,1341,12.96
102,944,275,9.04
368,3493,1149,12.79
378,3592,1030,13.49
90,1010,360,843
233,4738,1503,13.23
815,8957,2550,17.5
243,3037,1248,10.68
707,12460,3581,17.87
917,11936,3980,16.22
1489,9926,3830,15.94
513,6276,1827,16.48
956,5411,1622,17.5
582,10894,2880,16.53
472,9371,2580,15.13
346,3770,1221,12.59
619,5223,1669,16.01
264,4603,1200,12.7
1057,5764,1697,18.5
250,671,300,6.64
103,902,287,7.96
202,1092,3197,11.49
483,960,3802,12.5
408,1444,5391,14
679,623,1730,10.99
1359,2947,10397,18.9
661,2800,9385,17.16
138,276,842,7.56
861,1384,3982,15.25
269,2026,6297,16.21
86,219,634,6.59
1167,1075,3149,12.86
81,1176,3820,10.93
259,1266,3717,11.5
79,199,739,7
539,1305,3980,14.04
663,1350,4553,16
442,2971,9282,16.34
326,505,1752,10.5
928,1319,5245,17.5
737,3402,13052,17.43
308,1040,3194,12.5
395,1655,4988,15.11
58,257,848,6.79
178,322,805,7.15
661,1193,3782,13.34
285,2115,7091,14.43
508,297,986,10
286,1395,5838,14.5
1186,3512,14411,20
219,2070,5656,12.97
206,531,865,7.11
640,689,1835,11.04
244,1350,5433,15.5
82,256,769,5.84
1873,5424,19499,17.55
710,3484,13322,18.95
